Comment,Designator,Footprint,LCSC
"Arduino_Nano_Every","A1","Module:Arduino_Nano",""
"1µ","C1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"2µ2","C2","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"22mF","C3","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn",""
"C","C4","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"100nF","C5,C6,C7","Capacitor_SMD:C_0805_2012Metric",""
"1N5818 ","D1,D2,D3,D4,D6","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"LED_Dual_2pin","D5","LED_THT:LED_D3.0mm_Clear",""
"SS15","D7,D8,D9,D10,D11","Diode_SMD:D_SMA",""
"Main","J1","TerminalBlock:TerminalBlock_Altech_AK300-4_P5.00mm",""
"DS3231 Module","J2","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"OLED","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"LED","J4","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"BC856","Q1,Q3","Package_TO_SOT_SMD:SOT-23",""
"BC846","Q2,Q4","Package_TO_SOT_SMD:SOT-23",""
"BC556","Q5,Q7","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"BC546","Q6,Q8","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"BS170","Q9","Package_TO_SOT_THT:TO-92_Inline",""
"1k2","R10","Resistor_SMD:R_1206_3216Metric",""
"47k","R11,R14","Resistor_SMD:R_1206_3216Metric",""
"10k","R12","Resistor_SMD:R_1206_3216Metric",""
"4k7","R1,R2,R6,R9","Resistor_SMD:R_1206_3216Metric",""
"2k2","R3,R7","Resistor_SMD:R_1206_3216Metric",""
"1k","R4,R5,R13","Resistor_SMD:R_1206_3216Metric",""
"1","R8","Resistor_SMD:R_1206_3216Metric",""
"SW_DIP_x03","SW1","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm",""
"SW_Push","SW2,SW3","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"LM7805_TO220","U1","Package_TO_SOT_THT:TO-220-3_Vertical",""
